SEASON,TEAM_NAME,GAME_DATE,MATCHUP,WIN,TEAM_PTS_AVG,TEAM_AST_AVG,TEAM_REB_AVG
2202,Atlanta Hawks,2021-11-06,ATL @ PHX,0,,,
2202,Atlanta Hawks,2021-11-04,ATL vs. UTA,0,,,
2202,Atlanta Hawks,2021-11-03,ATL @ BKN,0,,,
2202,Atlanta Hawks,2021-11-01,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2021-10-30,ATL @ PHI,0,,,
2202,Atlanta Hawks,2021-10-28,ATL @ WAS,0,,,
2202,Atlanta Hawks,2021-10-27,ATL @ NOP,1,,,
2202,Atlanta Hawks,2021-10-25,ATL vs. DET,1,,,
2202,Atlanta Hawks,2021-10-23,ATL @ CLE,0,,,
2202,Atlanta Hawks,2021-10-21,ATL vs. DAL,1,,,
2202,Atlanta Hawks,2021-08-16,ATL @ NYK,0,,,
2202,Atlanta Hawks,2021-08-14,ATL @ MIA,1,,,
2202,Atlanta Hawks,2021-08-12,ATL vs. PHI,0,,,
2202,Atlanta Hawks,2021-08-10,ATL @ IND,1,,,
2202,Atlanta Hawks,2021-08-08,ATL vs. BOS,0,,,
4202,Atlanta Hawks,2021-07-03,ATL vs. MIL,0,,,
4202,Atlanta Hawks,2021-07-01,ATL @ MIL,0,,,
4202,Atlanta Hawks,2021-06-29,ATL vs. MIL,1,,,
4202,Atlanta Hawks,2021-06-27,ATL vs. MIL,0,,,
4202,Atlanta Hawks,2021-06-25,ATL @ MIL,0,,,
4202,Atlanta Hawks,2021-06-23,ATL @ MIL,1,,,
4202,Atlanta Hawks,2021-06-20,ATL @ PHI,1,,,
4202,Atlanta Hawks,2021-06-18,ATL vs. PHI,0,,,
4202,Atlanta Hawks,2021-06-16,ATL @ PHI,1,,,
4202,Atlanta Hawks,2021-06-14,ATL vs. PHI,1,,,
4202,Atlanta Hawks,2021-06-11,ATL vs. PHI,0,,,
4202,Atlanta Hawks,2021-06-08,ATL @ PHI,0,,,
4202,Atlanta Hawks,2021-06-06,ATL @ PHI,1,,,
4202,Atlanta Hawks,2021-06-02,ATL @ NYK,1,,,
4202,Atlanta Hawks,2021-05-30,ATL vs. NYK,1,,,
4202,Atlanta Hawks,2021-05-28,ATL vs. NYK,1,,,
4202,Atlanta Hawks,2021-05-26,ATL @ NYK,0,,,
4202,Atlanta Hawks,2021-05-23,ATL @ NYK,1,,,
2202,Atlanta Hawks,2021-05-16,ATL vs. HOU,1,,,
2202,Atlanta Hawks,2021-05-13,ATL vs. ORL,1,,,
2202,Atlanta Hawks,2021-05-12,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2021-05-10,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2021-05-06,ATL @ IND,0,,,
2202,Atlanta Hawks,2021-05-05,ATL vs. PHX,1,,,
2202,Atlanta Hawks,2021-05-03,ATL vs. POR,1,,,
2202,Atlanta Hawks,2021-05-01,ATL vs. CHI,1,,,
2202,Atlanta Hawks,2021-04-30,ATL @ PHI,0,,,
2202,Atlanta Hawks,2021-04-28,ATL @ PHI,0,,,
2202,Atlanta Hawks,2021-04-26,ATL @ DET,0,,,
